Table Name Index System Call              Handler Address    Symbol                                                      
---------- ----- ------------------------ ------------------ ------------------------------------------------------------
64bit          0                          0xffffffff811ca500 SyS_read                                                    
64bit          1                          0xffffffff811ca5a0 sys_write                                                   
64bit          2                          0xffffffff811c9000 sys_open                                                    
64bit          3                          0xffffffff811c9060 SyS_close                                                   
64bit          4                          0xffffffff811cf0a0 SyS_newstat                                                 
64bit          5                          0xffffffff811cf0d0 SyS_newfstat                                                
64bit          6                          0xffffffff811cf0b0 sys_newlstat                                                
64bit          7                          0xffffffff811de940 SyS_poll                                                    
64bit          8                          0xffffffff811c9620 sys_lseek                                                   
64bit          9                          0xffffffff81019b00 SyS_mmap                                                    
64bit         10                          0xffffffff8118ce20 sys_mprotect                                                
64bit         11                          0xffffffff8118bb40 sys_munmap                                                  
64bit         12                          0xffffffff8118af50 SyS_brk                                                     
64bit         13                          0xffffffff8107fb40 SyS_rt_sigaction                                            
64bit         14                          0xffffffff8107eab0 sys_rt_sigprocmask                                          
64bit         15                          0xffffffff81768850 stub_rt_sigreturn                                           
64bit         16                          0xffffffff811dc810 SyS_ioctl                                                   
64bit         17                          0xffffffff811ca640 SyS_pread64                                                 
64bit         18                          0xffffffff811ca6e0 sys_pwrite64                                                
64bit         19                          0xffffffff811cabf0 sys_readv                                                   
64bit         20                          0xffffffff811cacb0 sys_writev                                                  
64bit         21                          0xffffffff811c84a0 SyS_access                                                  
64bit         22                          0xffffffff811d3660 sys_pipe                                                    
64bit         23                          0xffffffff811de540 sys_select                                                  
64bit         24                          0xffffffff8109ee70 sys_sched_yield                                             
64bit         25                          0xffffffff8118ddf0 sys_mremap                                                  
64bit         26                          0xffffffff8118e120 sys_msync                                                   
64bit         27                          0xffffffff81186a90 sys_mincore                                                 
64bit         28                          0xffffffff8117f2e0 SyS_madvise                                                 
64bit         29                          0xffffffff812d5380 sys_shmget                                                  
64bit         30                          0xffffffff812d5b70 sys_shmat                                                   
64bit         31                          0xffffffff812d53e0 SyS_shmctl                                                  
64bit         32                          0xffffffff811e7be0 sys_dup                                                     
64bit         33                          0xffffffff811e7b90 SyS_dup2                                                    
64bit         34                          0xffffffff8107fdf0 sys_pause                                                   
64bit         35                          0xffffffff81093ca0 SyS_nanosleep                                               
64bit         36                          0xffffffff8106e850 sys_getitimer                                               
64bit         37                          0xffffffff8107a190 sys_alarm                                                   
64bit         38                          0xffffffff8106ece0 SyS_setitimer                                               
64bit         39                          0xffffffff81082400 sys_getpid                                                  
64bit         40                          0xffffffff811cb270 SyS_sendfile64                                              
